Date,Open,High,Low,Close,AdjClose,Volume
1/17/2018,22700,22700,22150,22150,21211.79883,36600600
1/18/2018,22250,22600,22250,22575,21618.79688,16996100
1/19/2018,22625,22650,22400,22450,21499.0918,10090100
1/22/2018,22550,22575,22425,22475,21523.0293,16273500
1/23/2018,22650,22700,22525,22650,21690.61914,13750400
1/24/2018,22625,22625,22500,22575,21618.79688,18850900
1/25/2018,22550,22650,22450,22575,21618.79688,10730700
1/26/2018,22625,22850,22525,22700,21738.5,11624200
1/29/2018,22800,22825,22550,22800,21834.26563,22962900
1/30/2018,22700,23450,22650,22800,21834.26563,22811000
1/31/2018,22800,22900,22700,22725,21762.44141,21360600
2/1/2018,22850,23425,22850,23375,22384.91211,27641600
2/2/2018,23625,24700,23600,23975,22959.49805,19694800
2/5/2018,23750,24025,23500,23800,22791.91211,9900300
2/6/2018,23450,23675,23300,23525,22528.55664,23517900
2/7/2018,23650,23975,23475,23500,22504.61523,24389400
2/8/2018,23550,23800,23500,23700,22696.14258,13692200
2/9/2018,23400,23725,23350,23575,22576.4375,14215300
2/12/2018,23800,23800,23500,23500,22504.61523,7681900
2/13/2018,23800,23925,23750,23800,22791.91211,11881200
2/14/2018,23725,23875,23550,23700,22696.14258,15110600
2/15/2018,23900,23925,23450,23450,22456.73438,10591700
2/16/2018,23450,23450,23450,23450,22456.73438,0
2/19/2018,23675,24250,23650,24250,23222.84766,10037100
2/20/2018,24100,24200,23875,24025,23007.37891,6966000
2/21/2018,23950,24175,23725,24025,23007.37891,12499800
2/22/2018,24100,24175,23750,23900,22887.67383,9443400
2/23/2018,24025,24475,23950,24250,23222.84766,16446600
2/26/2018,24150,24225,23500,23525,22528.55664,17045500
2/27/2018,23725,23775,23300,23550,22552.49805,17485900
2/28/2018,23400,23450,23075,23175,22193.38281,26573800
3/1/2018,23100,23225,23100,23175,22193.38281,25094900
3/2/2018,23075,23125,22750,22875,21906.08984,30302200
3/5/2018,23150,23300,22875,22875,21906.08984,17548800
3/6/2018,23175,23200,22725,22775,21810.32617,15181400
3/7/2018,23100,23150,22525,22600,21642.73633,21230400
3/8/2018,23000,23400,22750,23300,22313.08789,20598900
3/9/2018,23300,23300,22975,23300,22313.08789,13359400
3/12/2018,23400,23650,23350,23625,22624.32227,22236100
3/13/2018,23600,23700,23275,23450,22456.73438,16128600
3/14/2018,23475,23600,23225,23400,22408.85156,10901100
3/15/2018,23400,23425,23250,23375,22384.91211,12154900
3/16/2018,23650,23675,23000,23350,22360.9707,38624400
3/19/2018,23300,23375,23200,23350,22360.9707,14840000
3/20/2018,23275,23300,23000,23275,22289.14844,17936700
3/21/2018,23350,23525,23275,23375,22384.91211,13523500
3/22/2018,23475,23500,23350,23450,22456.73438,12158300
3/23/2018,23000,23800,23000,23800,22791.91211,12595600
3/26/2018,23400,23450,23200,23275,22289.14844,20081400
3/27/2018,23650,23775,23425,23450,22456.73438,13217600
3/28/2018,23450,23450,23150,23325,22337.0293,7242500
3/29/2018,23150,23325,22825,23300,22313.08789,15530100
3/30/2018,23300,23300,23300,23300,22313.08789,0
4/2/2018,23450,23475,23100,23400,22408.85156,7432500
4/3/2018,23375,23500,23325,23400,22408.85156,11252200
4/4/2018,23500,23500,23025,23300,22313.08789,9975400
4/5/2018,23500,23500,23050,23050,22073.67578,4504300
4/6/2018,23125,23125,22600,22725,21762.44141,9588300
4/9/2018,22850,22900,22575,22775,21810.32617,10202600
4/10/2018,22875,23450,22800,23300,22313.08789,15906700
4/11/2018,23500,23650,23300,23325,22337.0293,8378300
4/12/2018,23325,23325,23050,23150,22169.44141,9191400
4/13/2018,23100,23150,22900,22900,22097.07031,14035900
4/16/2018,22900,22900,22900,22900,22097.07031,0
4/17/2018,22900,22900,22900,22900,22097.07031,0
4/18/2018,22825,22975,22725,22975,22169.44141,8743200
4/19/2018,22975,22975,22975,22975,22169.44141,0
4/20/2018,22975,22975,22975,22975,22169.44141,0
4/23/2018,23200,23200,22925,23000,22193.56445,9247200
4/24/2018,23100,23125,22875,22925,22121.19531,14444700
4/25/2018,22925,22925,22925,22925,22121.19531,0
4/26/2018,22925,22925,22925,22925,22121.19531,0
4/27/2018,22925,22925,22925,22925,22121.19531,0
4/30/2018,21500,22400,21450,22100,21325.12109,18082800
5/1/2018,22100,22100,22100,22100,21325.12109,0
5/2/2018,22100,22900,22100,22900,22097.07031,16469200
5/3/2018,22800,22875,22300,22300,21518.11133,27740900
5/4/2018,22300,22325,22000,22025,21252.75,14826700
5/7/2018,22050,22300,21800,22300,21518.11133,9810900
5/8/2018,22000,22025,21700,22025,21252.75,14147800
5/9/2018,21525,22900,21525,22900,22097.07031,14418800
5/10/2018,22900,22900,22900,22900,22097.07031,0
5/11/2018,22750,23050,22550,22750,21952.33008,16000100
5/14/2018,22450,22975,22325,22975,22169.44141,11474100
5/15/2018,22675,22700,22000,22200,21421.61328,26116600
5/16/2018,21900,22400,21900,22375,21590.48047,17437000
5/17/2018,22200,22275,22000,22000,21228.62891,16806100
5/18/2018,22000,22025,21700,21700,20939.14453,17736200
5/21/2018,21550,21725,21475,21650,20890.89844,16447400
